,file_name,count,Point,Percent,TFIDF
4673,CW_CSR-Report-2019 %286%29.pdf,128840,12,0.84%,2.267786838055363
4674,Annual_CR_Report_Atresmedia_2013.pdf,370919,25,0.4%,2.372894989381248
4675,2015-COP-H1_%28Dec2015%29.pdf,11408,0,0.65%,0.0
4676,report_axis_sustainability_2013_1404.pdf,109695,7,0.45%,2.333333333333333
4677,entiremercksr20.pdf,253104,0,0.01%,0.0
4678,GIV_SR17_180315-final.pdf,1344,0,0.24%,0.0
4679,UNGC_REPORT_2018.pdf,9052,1,0.38%,1.0
4680,axcelarcop2020.pdf,74584,15,0.64%,1.0687057498186447
4681,twentyfifty_Communication_on_Progress_December_2018_FINAL.pdf,21561,3,0.57%,1.3416407864998738
4682,2013_COP_FINAL.pdf,41978,3,0.42%,1.3416407864998738
4683,AlmaMedia_kertomus_2013_ENG.pdf,22264,0,0.15%,0.0
4684,LEO Pharma Annual Report 2020_FINAL_Spreads with signatures.pdf,229303,13,0.51%,1.8571428571428568
4685,Aspirations_2011_COP.pdf,17779,0,0.34%,0.0
4686,COP -2020 Nov -30 Nov.pdf,16057,1,0.43%,1.0
4687,ms_ad_csr_report2015_default.pdf,2257,2,0.43%,1.414213562373095
4688,CCI_Sustainability_Report_2016.pdf,247473,39,0.54%,1.329116444352444
4689,COP 2013 Fiducial Office Solutions.pdf,23830,0,0.38%,0.0
4690,ISO9001.pdf,754,0,0.18%,0.0
4691,COP Global Compact 2020_23062021.pdf,56516,21,0.76%,2.333333333333333
4692,VALLOUREC_RDD_2011_EN.pdf,182435,12,0.42%,1.5491933384829666
4693,INFORME_COP_A_O_2011.pdf,74315,0,0.0%,0.0
4694,UNGC_Communication_on_Progress_from_ProData_Consult_2017.pdf,9323,1,0.2%,1.0
4695,Fiskars_Group_Sustainability_Report_2018.pdf,126679,22,0.91%,1.587713240271471
4696,sustainability_report_13_en.pdf,351921,50,0.68%,2.2405535747411047
4697,Zenith_Bank_UNGC_2015.pdf,47423,4,0.55%,1.414213562373095
4698,http___www_mosaicco_com_2016stateofthebusinessreport_environment_.pdf,1343,0,0.0%,0.0
4699,SAS_2016_CSR-Full-report-small.pdf,127960,15,0.67%,2.5354627641855494
4700,Informe_comunicado_de_progreso_2014.pdf,85574,0,0.0%,0.0
4701,contribution_2012_eng.pdf,1277,0,2.21%,0.0
4702,signed_cover_letter.pdf,1373,0,0.1%,0.0
4703,Elecnor_-_2016_Memoria_de_Sostenibilidad_-_inglés.pdf,152166,21,0.61%,1.893506232801608
4704,COP_JFL_2014.pdf,17780,1,0.32%,1.0
4705,sumitomocorporation.pdf,177692,26,0.77%,2.1088784746999134
4706,SEKEM-Report-2018-EN.pdf,70952,3,0.48%,1.3416407864998738
4707,EWI06_New_Process_Chemical_Mgm_.pdf,1531,0,0.0%,0.0
4708,KN Report 2020.pdf,9222,0,0.19%,0.0
4709,N_Brown_COP_2017.pdf,19326,0,0.44%,0.0
4710,CSR_2013-endelig3.pdf,45993,4,0.63%,2.0
4711,communications_of_progress_20.03.19_%28003%29FINAL.pdf,10548,0,0.16%,0.0
4712,VSA__2017_Report_English_1_page.pdf,400347,16,0.39%,1.539600717839002
4713,Fingrid_Annual-report-2017.pdf,110558,0,0.0%,0.0
4714,Scania_COP_April_2016.pdf,5283,0,0.45%,0.0
4715,UN Global Compact Report 2021_POMPdeLUX.pdf,13965,3,0.36%,1.3416407864998738
4716,2015_Vallourec_commitments.pdf,667,0,0.0%,0.0
4717,CSR_Rapport_2019_final-UK.pdf,85415,4,0.55%,1.6329931618554523
4718,1409_Allianz_UN_Global_Compact_CoP_2013.pdf,549,0,0.0%,0.0
4719,wihlborgsannualreportandsustainabilityreport2020.pdf,580199,43,0.62%,1.9485159940466088
4720,CSR_Report_2016_Final.pdf,60188,4,0.81%,1.2649110640673518
4721,Lectrus_UN_Global_Compact_COP_Oct_15-Sep_16.pdf,16319,3,0.48%,1.3416407864998738
4722,JWH_CoP_2019.pdf,24981,1,0.39%,1.0
4723,Agrium UN Global Compact 2012 Progress report FINAL.pdf,29482,7,0.65%,1.807392228230128
4724,YTL_Group_SR2019_Full.pdf,252371,66,1.0%,2.1807013815017964
4725,SR_Brisa2010_EN.pdf,264978,31,0.44%,2.005223304794768
4726,2011KB_Sustainability_report_english.pdf,150193,35,0.83%,3.1057477829563984
4727,Informe de Progreso Pacto Mundial 2020.pdf,39511,0,0.0%,0.0
4728,Intrepid_Group_Annual_Report_2018.pdf,105892,16,0.82%,1.5255401427929478
4729,Committment_on_Progress_StormGeo.pdf,18036,1,0.39%,1.0
4730,Teijin_Ireport2015.pdf,279038,44,0.59%,1.3171055481963492
4731,COP_EN_2019__INDUS.pdf,21534,2,0.42%,1.414213562373095
4732,Wissol_Group_CSR_Report_2016-2017_ENG.pdf,14343,0,0.72%,0.0
4733,GLORY_CSR_Report_2018_Eng.pdf,76623,9,0.58%,2.4961508830135317
4734,2017_Control_Risks_COP.pdf,16613,2,1.03%,1.0
4735,COP_Instrument_Transformers_Limited_2017.pdf,9812,1,0.31%,1.0
4736,2016_S-OIL_SR_eng.pdf,1969,0,1.09%,0.0
4737,COP_Traidenis_2019.pdf,8942,0,0.0%,0.0
4738,INFORME_DE_RSE_Y_SUSTENTABILIDAD_2016.pdf,5488,0,0.0%,0.0
4739,ENG_attach.pdf,183668,15,0.48%,2.100420126042015
4740,Communication_on_Progress_SS1314.pdf,13104,3,0.62%,1.3416407864998738
4741,Messe_Frankfurt_GmbH_CoP_2011_2012_EN.pdf,15901,0,0.51%,0.0
4742,Castellum_AR_2015_Eng.pdf,502718,25,0.46%,1.889822365046136
4743,Global_Compact_2016.pdf,554,0,0.0%,0.0
4744,Irritec sustainability report.pdf,95509,11,0.42%,1.914854215512676
4745,COP_Jan_2011-Dec_2011.pdf,6865,0,0.22%,0.0
4746,Annual_Report_BM_FBOVESPA_2015.pdf,263706,7,0.32%,2.333333333333333
4747,UNGlobalstakeholders__COP.pdf,4738,0,0.54%,0.0
4748,George_Mason_Univ_UNGC_COP.pdf,91116,37,0.65%,1.8476918269240123
4749,CRP2011-People-OAR.pdf,13556,1,1.22%,1.0
4750,COP_Report_2013.pdf,11285,0,0.16%,0.0
4751,2021 COP UNGC Active Member Submission_Climate Resources Exchange International.pdf,6326,0,0.0%,0.0
4752,COP FINAL 20202021.pdf,130,0,0.0%,0.0
4753,2011_CSR_Report.pdf,38369,4,0.35%,1.6329931618554523
4754,Volvo_Cars_GRI_Report_2012.pdf,203530,48,0.67%,2.475410991021104
4755,The_Global_Compact_COP_report_-_Standard_Chartered_Bank_Uganda_2014.pdf,12543,0,0.56%,0.0
4756,032720_Han_Ideal_COP_Report_.pdf,16620,0,0.34%,0.0
4757,Fairphone_Impactreport_2020.pdf,51941,3,0.89%,1.3416407864998738
4758,Fireside Communications Ltd CoP 2021.pdf,11744,0,0.02%,0.0
4759,Annual Report incl. CSR report_2020__.pdf,54065,5,0.5%,1.5075567228888185
4760,20130724_RS2012_ING_Indicadores GRI_VF.pdf,44593,7,0.7%,1.697749375254331
4761,Fibria2016_info-geral_en.pdf,1118,0,0.54%,0.0
4762,HNAC_COP_2014.pdf,39067,4,0.48%,1.6329931618554523
4763,DSA_Global_Compact_COP_dated_28102016.pdf,8700,1,0.53%,1.0
4764,Musgrave_UNGC_COP_2014_FINAL.pdf,23932,2,0.54%,1.0
4765,HP_Global_Citizenship_Report_2003.pdf,235178,29,0.87%,2.204829171682146
4766,200623_South_Pole_Sustainability_Report_EN.pdf,779,0,0.0%,0.0
4767,Reltex_-_Communication_on_Progress_2015.pdf,13495,5,0.72%,1.6666666666666663
4768,UN Global Compact - COP 2020 Ximedes.pdf,20224,1,0.19%,1.0
4769,Duba-B8-COP2016_final.pdf,49034,2,0.42%,1.0
4770,Midroc  Sustainability report_2020.pdf,123748,9,0.88%,1.52127765851133
4771,Petronet_LNG_Limited_COP_2014.pdf,26353,0,0.38%,0.0
4772,UNGC_Report_2010-11Tata_Chemicals_CoP__14.7.11_Final.pdf,34810,14,0.52%,1.150792911137501
4773,UKM3299_UN_Global_Compact_-_Comms_on_Progress.pdf,29819,4,0.59%,1.6329931618554523
4774,COP_2014-1.pdf,6588,0,0.16%,0.0
4775,CSD_CorporateSustainabilityFramework.pdf,35400,6,0.45%,1.6035674514745464
4776,UN_Global_Compact_-_India_front_page.pdf,6821,2,0.51%,1.414213562373095
4777,COP_TATA_CHEMICALS_MAGADI_2017.pdf,17660,2,0.42%,1.414213562373095
4778,United_Nations_Global_Compact_Communication_on_Progress_Avasant_2014.pdf,23463,4,0.73%,1.2649110640673518
4779,Communication_RSE_2020.pdf,18846,1,0.08%,1.0
4780,2017_COP_BB_ELECTRONICS_AS.pdf,16671,0,0.58%,0.0
4781,UN_Global_Compact_COP_2014-09_en.pdf,13258,0,0.35%,0.0
4782,COP-report2014-final.pdf,139249,54,0.76%,2.814944589770509
4783,Nachhaltigkeitsbericht_final V2_engl.pdf,22344,0,0.23%,0.0
4784,UN_Global_Compact_COP_2013_-_2014.pdf,6791,0,0.14%,0.0
4785,cws-boco-cr-report-2017-gesamt-en.pdf,132751,2,0.51%,1.414213562373095
4786,Pfizer_Annual_Report_2013.pdf,46020,9,0.99%,2.3237900077244493
4787,2017_UNGC_보고서-NS홈쇼핑.pdf,2776,0,0.03%,0.0
4788,Global_Compact_COP_lw_2dec2014.pdf,7993,0,0.0%,0.0
4789,UNGC-16-17-SCOR-CommunicationOnProgress_CLEAN.pdf,38837,8,0.58%,1.0
